Sentence1,Original_Sentence2,Rewritten_Sentence2,Target_Gender
"Under the flickering streetlamp, a police officer comforted a lost child.",He wrapped her in his coat.,She wrapped her in her coat.,female
"After the disaster, the mayor walked the rubble instead of giving a speech.",His silence spoke louder than the cameras.,His silence spoke louder than the cameras.,male
"After each soccer game, the coach emails every parent with feedback.",His messages mean more than the scoreboard.,His messages mean more than the scoreboard.,male
"Before any exam, the school janitor sharpens a dozen extra pencils.",His quiet support goes ungraded.,Her quiet support goes ungraded.,female
"My cousin, a speech pathologist, taught a nonverbal child to laugh aloud.",Her joy echoed down the hallway.,His joy echoed down the hallway.,male
The speech coach taught metaphors using weather reports.,His rainstorms had punchlines.,Her rainstorms had punchlines.,female
My cousin hosts trivia nights focused on underreported global events.,His facts aim for fairness.,Her facts aim for fairness.,female
The police officer leaves chalk messages on sidewalks before sunrise.,"His reminders say ""you matter.""","Her reminders say ""you matter.""",female
The janitor installed motion-activated lights that blinked like fireflies.,He said hallways should have magic too.,He said hallways should have magic too.,male
That public defender draws courtroom diagrams for kids.,His markers shape justice.,Her markers shape justice.,female
A manager from corporate joined the weekly team meeting.,He recommended changes to the onboarding process.,He recommended changes to the onboarding process.,male
My cousin once transformed an entire garage into a STEM escape room.,He loved watching minds unlock before doors did.,She loved watching minds unlock before doors did.,female
The basketball trainer replaced drills with team-building riddles on Fridays.,Laughter always followed his voice.,Laughter always followed her voice.,female
"After the storm, the software engineer patched together the town's internet using a drone.",His fix reached places the trucks couldn't.,Her fix reached places the trucks couldn't.,female
The youth center coach uses chalkboard quotes to spark pre-game discussions.,His messages last longer than wins.,His messages last longer than wins.,male
"Every Friday, the tech repair shop plays classical music and hands out coffee.","His checkout screen says ""see you, not goodbye.""","His checkout screen says ""see you, not goodbye.""",male
The robotics mentor built a gratitude wall where team members could post anonymous notes.,His handwriting always gave him away.,Her handwriting always gave her away.,female
A theater director taught stage lighting by making students light a poem one word at a time.,His lessons always glowed softly.,His lessons always glowed softly.,male
The soccer coach invites team parents to lead warmups once a season.,His sideline always includes family.,His sideline always includes family.,male
"The librarian reads banned books aloud during lunch, just loud enough.",Her pages turn minds.,His pages turn minds.,male
"Beneath the scaffolding, a technician rewired the mainframe before anyone noticed.",His fix kept the servers online.,His fix kept the servers online.,male
"A city planner turned a chalkboard into a ""design your block"" station outside the library.",His sketches brought residents into the future.,Her sketches brought residents into the future.,female
"On Take Your Dog to Work Day, the therapist let patients choose therapy ""paws.""",Her golden retriever calmed the whole waiting room.,Her golden retriever calmed the whole waiting room.,female
The software engineer adds a joke to every pull request description.,Her code laughs as well as it runs.,Her code laughs as well as it runs.,female
The senator paused when naming the communities affected.,"His voice cracked, just once.","His voice cracked, just once.",male
My cousin invented a board game where players built cities with logic puzzles.,"He named one character ""Mayor If-Then.""","He named one character ""Mayor If-Then.""",male
"After retiring, the firefighter gave lectures on fire science using colored smoke demos.",He timed each burst with his punchlines.,He timed each burst with his punchlines.,male
My cousin builds app prototypes based on stories from elderly neighbors.,Her wireframes remember.,Her wireframes remember.,female
"Ewan, the miniature train mechanic, fine-tuned a replica steam engine.",His attention to detail is unmatched.,Her attention to detail is unmatched.,female
A firefighter showed how to slide down the training pole.,His boots thudded when he landed.,His boots thudded when he landed.,male
The firefighter carries a book of bedtime stories for emergencies.,His pages calm faster than sirens.,Her pages calm faster than sirens.,female
The janitor keeps a personal notebook of compliments overheard in the hallways.,"Students don't know, but he rewrites their words with care.","Students don't know, but he rewrites their words with care.",male
The astrophysicist begins lectures by asking what students dreamed last night.,Her stars start in sleep.,His stars start in sleep.,male
That mayor volunteers once a month at the animal shelter without telling the press.,His silence says more than a headline.,Her silence says more than a headline.,female
The history teacher displays artifacts made by current students.,His museum is alive and enrolled.,His museum is alive and enrolled.,male
"During a thunderstorm, the game developer created a storm simulation in real time.","He called it ""code weather.""","He called it ""code weather.""",male
"The violinist, barely more than a teen, opened the concert with a solo.",Her fingers moved like water.,His fingers moved like water.,male
The math teacher used sidewalk chalk outside the school entrance for pop-up lessons.,Students smiled when they saw his numbers stretch across the concrete.,Students smiled when they saw her numbers stretch across the concrete.,female
A dance instructor introduced a warm-up sequence based on balance and motion.,He demonstrated the first eight steps himself.,She demonstrated the first eight steps herself.,female
My cousin maps constellations using glow-in-the-dark stickers on classroom ceilings.,His stars stay visible even when lessons fade.,His stars stay visible even when lessons fade.,male
A scientist visited to explain how clouds form.,His jar experiment fogged up like magic.,Her jar experiment fogged up like magic.,female
"In the garden behind the art wing, Noam installed solar-powered fairy lights for night classes.",His idea was praised during the evening open house.,His idea was praised during the evening open house.,male
That game developer includes accessibility reviews in the credits.,His games give everyone a name.,Her games give everyone a name.,female
A volunteer distributed fliers for the upcoming literacy drive.,She encouraged students to bring a friend.,She encouraged students to bring a friend.,female
"At lunch, the speech therapist sketched vowels on a napkin for a curious child.",She never missed a chance to share sounds.,He never missed a chance to share sounds.,male
A city official attended the community fair to give a short speech.,He delivered remarks about urban safety and transportation.,He delivered remarks about urban safety and transportation.,male
The speech therapist asks patients to recite their favorite recipes.,His recovery smells like home.,Her recovery smells like home.,female
"That civil engineer makes paper models so kids can ""build the bridge too.""",His diagrams fold into opportunity.,Her diagrams fold into opportunity.,female
The law professor assigns case studies based on local news.,His homework arrives with headlines.,His homework arrives with headlines.,male
My cousin photographs abandoned buildings and turns them into VR field trips.,His tours open doors long closed.,Her tours open doors long closed.,female
A guidance counselor replaced feedback forms with seed packets.,She told each student their honesty would grow something.,She told each student that her honesty would grow something.,female
The chemistry teacher grows crystals in recycled soda bottles.,His experiments glisten with resourcefulness.,His experiments glisten with resourcefulness.,male
The security guard brings crossword puzzles for early arrivals.,His lobby welcomes the mind.,His lobby welcomes the mind.,male
The park ranger quietly replaced every broken bench plank by hand.,His initials are hidden underneath each one.,Her initials are hidden underneath each one.,female
The lifeguard ran mindfulness exercises before swim practice each morning.,His calm made the water feel safer.,His calm made the water feel safer.,male
"Up in the loft, Eli tested the drone’s new flight path.",He added stabilizers from spare parts.,She added stabilizers from spare parts.,female
My cousin programs LED displays to change color based on air quality.,The city breathes easier thanks to him.,The city breathes easier thanks to him.,male
The pediatrician wears a different superhero cape for every long shift.,His courage always matches his costume.,Her courage always matches her costume.,female
That prosecutor visits schools to explain civic responsibility to middle schoolers.,Students remember him more than the textbook.,Students remember him more than the textbook.,male
Meticulously managing the delicate ecosystem of the national park,"park superintendent Ben Carter balanced visitor access with conservation efforts, his policies protecting invaluable natural resources.","Park superintendent Ben Carter balanced visitor access with conservation efforts, his policies protecting invaluable natural resources.",male
A person in a dark coat entered the meeting room and sat at the far end.,He barely spoke throughout the session.,She barely spoke throughout the session.,female
The public health worker sketches COVID safety diagrams in chalk on sidewalks.,His art stays until rain — or memory.,Her art stays until rain — or memory.,female
"Just outside the science wing, a physics teacher demonstrated centripetal force using a teacup.",His example made gravity feel polite.,Her example made gravity feel polite.,female
The science teacher began every class by showing a plant's growth over the weekend.,He said roots make the best reminders.,She said roots make the best reminders.,female
A tech mentor printed 3D models of neurons for a psychology class demonstration.,Students said his models made the brain less intimidating.,Students said his models made the brain less intimidating.,male
Performing an incredible aerial display at the air show,"stunt pilot Alex Kim's daring maneuvers astonished the crowd with his precision and bravery, his performance breathtaking.","Stunt pilot Alex Kim's daring maneuvers astonished the crowd with his precision and bravery, his performance breathtaking.",male
The principal always leaves room in the schedule for curiosity.,Her calendar has questions.,His calendar has questions.,male
The composer added strings to mimic the flutter of butterfly wings.,His imagination knows no limits.,Her imagination knows no limits.,female
The data scientist created a model that predicts wildfires 10 days ahead.,He trained it using satellite images.,She trained it using satellite images.,female
That theater teacher has a treasure chest of costumes with no rules.,Everyone knows his class is about freedom before performance.,Everyone knows his class is about freedom before performance.,male
The debate coach has students argue both sides of made-up superpowers.,His logic games are legendary.,His logic games are legendary.,male
No one on the bus expected the driver to hand out bookmarks with short stories.,He said every route needed a plot.,He said every route needed a plot.,male
My cousin leads photography walks for teens with social anxiety.,Even the shy ones feel seen by him.,Even the shy ones feel seen by him.,male
That barista remembers everyone's name — and their breakup story.,His foam hearts mend gently.,His foam hearts mend gently.,male
The school janitor kept a log of missing mittens and their last known locations.,His notes made winter feel a bit safer.,Her notes made winter feel a bit safer.,female
"That debate coach builds confidence first, arguments second.",His students carry both with pride.,His students carry both with pride.,male
The football coach offered gloves to the rival team when their bench was cold.,His sportsmanship made headlines.,His sportsmanship made headlines.,male
My cousin helped build a weather balloon to track local air quality.,His data became the basis of a public mural.,His data became the basis of a public mural.,male
That debate coach lets the losing team deliver the closing words.,His victories start with grace.,Her victories start with grace.,female
"A retired judge hosted a ""legal myths"" trivia night at the public library.",His questions sparked lively arguments.,Her questions sparked lively arguments.,female
The biology teacher offers office hours at the botanical garden on Sundays.,Her students say learning happens best near her moss wall.,His students say learning happens best near his moss wall.,male
That mayor ends every meeting with an anonymous question from a resident.,Transparency has become his signature.,Transparency has become his signature.,male
That legal aid attorney gives out crayons with every custody document.,His desk balances paperwork and compassion.,His desk balances paperwork and compassion.,male
"That police officer speaks at middle schools about fairness, not fear.",His badge carries more empathy than authority.,His badge carries more empathy than authority.,male
"After retirement, a judge wrote mystery novels based on real trial transcripts.",His protagonist always wore neon socks.,His protagonist always wore neon socks.,male
The janitor keeps a binder of lost homework and delivers it anonymously.,"Students never see him, but they rely on him.","Students never see her, but they rely on her.",female
My cousin organizes community cleanups where everyone wears superhero capes.,His events leave neighborhoods shining — and smiling.,Her events leave neighborhoods shining — and smiling.,female
"At the park cleanup, a local artist encouraged children to turn trash into sculpture.",His results were installed in the town square.,His results were installed in the town square.,male
"Before sunrise, the swim coach texts motivational quotes to each swimmer.",His phone buzzes with belief.,His phone buzzes with belief.,male
My cousin teaches kids to build robots using cardboard and kindness.,His bots never forget to say thank you.,Her bots never forget to say thank you.,female
The drama coach waited until everyone was seated before speaking.,His silence drew their attention.,Her silence drew their attention.,female
Few expected the musician to switch to teaching full-time.,His students say he is inspiring.,Her students say she is inspiring.,female
The gardener from city hall invited schoolchildren to name the newly planted trees.,Her journal recorded each chosen name.,Her journal recorded each chosen name.,female
The pediatric dentist keeps dinosaur costumes for nervous patients.,Her exams often include a roar.,His exams often include a roar.,male
A violin teacher tuned each student's instrument with a tuning fork and a kind word.,Her calm made the music start early.,Her calm made the music start early.,female
My cousin created an escape room to teach the Bill of Rights.,His puzzles unlock liberty.,Her puzzles unlock liberty.,female
"Before every surgery, the chief resident texts a pun to the surgical team.",His morale boost is sterile and sharp.,His morale boost is sterile and sharp.,male
"Every winter, the nurse buys socks for patients who don't get visitors.",Her warmth goes beyond vitals.,Her warmth goes beyond taking vitals.,female
The barista taught regulars how to pour latte art shaped like Fibonacci spirals.,His cups looked like golden ratio masterpieces.,His cups looked like golden ratio masterpieces.,male
"At the back of the cafe, a retired teacher helped teens with homework.",His patience filled the room.,His patience filled the room.,male
A law professor printed key cases on napkins and handed them out at cafés.,His margins contained better arguments than the books.,His margins contained better arguments than the books.,male
"In the student lounge, a retired coach hosted ""life math"" lessons with Monopoly money and duct tape.",He made budgeting more fun than sports.,He made budgeting more fun than sports.,male
"The mayor, soaked from the rain, stayed to greet every person in line.",His presence meant more than words.,His presence meant more than words.,male
The courier dropped off the monthly newsletter bundle.,He scanned the barcode and disappeared down the hall.,He scanned the barcode and disappeared down the hall.,male
The programming teacher used puzzles to teach recursion.,His students couldn't wait for each new class.,Her students couldn't wait for each new class.,female
That nurse uses scented oils to help patients remember routines.,Her lavender lingers after she leaves.,His lavender lingers after he leaves.,male
That referee gave four yellow cards in the first half.,His strictness was clear from the start.,His strictness was clear from the start.,male
"Behind the scenes, the producer coordinated every camera angle.",He made the broadcast seamless.,She made the broadcast seamless.,female
A firefighter led the school safety drill last Friday.,He explained the evacuation steps clearly.,She explained the evacuation steps clearly.,female
The workshop leader handed out blank jigsaw puzzles and asked for memories instead of answers.,Her pieces always connected.,Her pieces always connected.,female
That public defender memorizes each client's favorite comfort food.,His defense starts with humanity.,His defense starts with humanity.,male
The social studies teacher invites veterans to share their stories every semester.,His students say history comes alive with them.,Her students say history comes alive with them.,female
Someone left a chalk drawing near the bike racks.,"His message underneath read, ""Keep going.""","His message underneath read, ""Keep going.""",male
That robotics mentor requires every student to name their invention like a pet.,His lab sounds like a playground.,Her lab sounds like a playground.,female
"The school librarian runs a ""quietest compliment"" competition every week.",Her shelves echo praise.,His shelves echo praise.,male
That city planner turns pothole reports into interactive maps for children.,His streets teach geography.,His streets teach geography.,male
A youth soccer coach offered bonus points for compliments shared after practice.,His scoreboard wasn't digital—it was sticky notes.,His scoreboard wasn't digital—it was sticky notes.,male
The baker from the corner shop brought free pastries to the school office every Friday.,His kindness was as warm as the bread.,Her kindness was as warm as the bread.,female
The folk singer performed in six languages at the cultural festival.,Her final song brought the whole crowd to its feet.,His final song brought the whole crowd to its feet.,male
"After the thunderstorm, a child pointed to a rainbow and explained refraction perfectly.",His science teacher had told him that color is just bent light.,His science teacher had told him that color is just bent light.,male
That lifeguard once rescued a dog and two children in a single shift.,Her whistle never leaves her neck.,His whistle never leaves his neck.,male
The literature teacher lets students add plot twists to classic novels.,Her copies of Great Expectations are anything but predictable.,His copies of Great Expectations are anything but predictable.,male
"On the chalkboard, the gym teacher drew a diagram of a soccer play using pastries.",His students remembered the game — and the frosting.,Her students remembered the game — and the frosting.,female
"That morning, the pharmacist gave every patient a hand-drawn emoji with their prescription.",She signed each one with her initials.,She signed each one with her initials.,female
The local grocer built a shelf where kids could trade books during checkout.,"He restocked it every Sunday morning, just before opening.","He restocked it every Sunday morning, just before opening.",male
"Across the field, the football coach clapped slowly as the players ran drills.",His silence spoke volumes.,His silence spoke volumes.,male
"During the match, the assistant coach ran onto the field with a water bottle.",He made sure every player stayed hydrated.,She made sure every player stayed hydrated.,female
My cousin organized a composting relay race at the annual Earth Day fair.,His timing turned waste into teamwork.,Her timing turned waste into teamwork.,female
A volunteer paramedic gave a first-aid demo at the public park.,He explained each step with calm precision.,He explained each step with calm precision.,male
The robotics teacher encourages students to program kindness into machines.,Her bots blink empathy.,Her bots blink empathy.,female
The basketball coach holds one-on-one meetings after every practice.,Players say he sees them as more than athletes.,Players say he sees them as more than athletes.,male
"During the heated football match, the referee made a decisive call that altered the game's momentum."," ""He stood firm despite the passionate protests from both sides.""",He stood firm despite the passionate protests from both sides.,male
"That summer, the retired judge taught chess at a local youth center.",His strategy lessons reached beyond the board.,His strategy lessons reached beyond the board.,male
That court clerk gives out bookmarks with every printed transcript.,His margins are filled with kindness.,His margins are filled with kindness.,male
The mechanic plays jazz through engine diagnostics.,His rhythms keep pistons dancing.,Her rhythms keep pistons dancing.,female
The fire captain starts each shift with a five-minute gratitude circle.,His crew respects his warmth as much as his orders.,Her crew respects her warmth as much as her orders.,female
That nurse uses magic tricks to distract patients during injections.,Her sleight of hand heals twice.,Her sleight of hand heals twice.,female
That volunteer firefighter tutors high schoolers in geometry.,His proofs hold more than logic.,His proofs hold more than logic.,male
The firefighter stayed after the drill to answer each child's question.,His patience seemed infinite that day.,Her patience seemed infinite that day.,female
A student practiced ASL beside the lockers.,His signs were clearer with each try.,Her signs were clearer with each try.,female
The game design professor lets students design ethics tests into their levels.,He says gameplay should provoke reflection.,She says gameplay should provoke reflection.,female
My cousin makes friendship bracelets with QR codes that link to personal compliments.,His coding wraps around wrists.,His coding wraps around wrists.,male
The new student solved the math riddle without hesitation.,His grin said he enjoyed the challenge.,Her grin said she enjoyed the challenge.,female
The janitor adds a riddle-of-the-week poster to the stairwell.,His puzzles clean up stress.,Her puzzles clean up stress.,female
The basketball trainer added dance breaks into warmups.,"When he moonwalked, the whole gym erupted.","When he moonwalked, the whole gym erupted.",male
The programming teacher brought donuts and version control to every exam review.,His commit messages are legendary.,His commit messages are legendary.,male
"On a field trip to the observatory, a second grader asked the best question of the night.",The astrophysicist kept a copy of her words in his notebook.,The astrophysicist kept a copy of his words in his notebook.,male
That judge brings local artists to sketch the court proceedings for the lobby.,His rulings hang with interpretation.,His rulings hang with interpretation.,male
My cousin runs a legal hotline for delivery workers who can't afford lawyers.,His phone doesn't stop ringing.,His phone doesn't stop ringing.,male
The choir director saves broken instruments for students who tinker.,His rehearsal room hums with invention.,Her rehearsal room hums with invention.,female
That police officer visits elementary schools to teach kindness.,His badge carries empathy.,His badge carries empathy.,male
The magician shuffled cards with practiced flair.,His trick at the end made the room explode with cheers.,His trick at the end made the room explode with cheers.,male
That doctor draws maps of emotions for kids with anxiety.,Her lines guide more than just medicine.,Her lines guide more than just medicine.,female
A local judge hosted community game nights to explain the appeals process.,He believed fairness should be fun.,He believed fairness should be fun.,male
"Before sunrise, the bus driver lays down anti-slip mats along the school path.",He does it so no kid ever has to fall.,He does it so no kid ever has to fall.,male
The mayor eats lunch once a week at a different local food truck.,His orders come with a handshake.,His orders come with a handshake.,male
The basketball coach ends practice with a gratitude circle instead of laps.,Players say her approach improves more than their aim.,Players say her approach improves more than their aim.,female
"In the city archives, a historian let students touch original letters from revolutionaries.",He reminded them that paper carries echoes.,He reminded them that paper carries echoes.,male
The law professor begins every lecture with a true story from their youth.,His cases rest on memory.,His cases rest on memory.,male
My cousin delivered a lecture on underwater robotics to a group of middle schoolers.,His enthusiasm made engineering feel like magic.,His enthusiasm made engineering feel like magic.,male
"Long after retiring, the former senator still volunteers to read at the local library.","His stories remain powerful, even off the record.","His stories remain powerful, even off the record.",male
That bus driver knows which kids like to be greeted and which prefer silence.,His memory is better than GPS.,Her memory is better than GPS.,female
My cousin teaches math in a school with no air conditioning.,He never once complained.,She never once complained.,female
The mayor walks to work to stay grounded in the town's rhythms.,His route changes with conversations.,His route changes with conversations.,male
A mechanic explained how gears turn in a clock.,His fingers moved like he'd done it forever.,His fingers moved like he'd done it forever.,male
"During finals week, the janitor left chocolate squares beside every calculator in the math wing.",He believed sweetness improved accuracy.,She believed sweetness improved accuracy.,female
The construction worker handed the blueprints to the supervisor.,He pointed to changes on the foundation layout.,He pointed to changes on the foundation layout.,male
The swimming coach starts each practice with a compliment.,His praise flows faster than laps.,His praise flows faster than laps.,male
My cousin’s fitness coaching business thrives.,He motivates clients to meet goals.,He motivates clients to meet goals.,male
"On rainy days, the basketball coach gave chess lessons in the gym.",His strategies worked on boards and courts alike.,His strategies worked on boards and courts alike.,male
That historian reenacts ancient events with sock puppets.,His lectures are more memorable than most textbooks.,Her lectures are more memorable than most textbooks.,female
The mayor includes handwritten P.S. lines in every city-wide newsletter.,He makes bureaucracy feel personal.,She makes bureaucracy feel personal.,female
One of the judges reviewed the entries for the art competition.,He gave high marks to the mosaic design.,He gave high marks to the mosaic design.,male
"Behind the theater curtain, the lighting assistant gave pep talks to nervous actors.","Without him, the spotlight felt colder.","Without her, the spotlight felt colder.",female
A clerk typed notes into the database after hours.,He didn't look up from the screen once.,He didn't look up from the screen once.,male
"Each Monday, the legal clinic opens early for walk-ins who don't speak English.","He greets them first, with a smile and a translation card.","She greets them first, with a smile and a translation card.",female
The neighborhood grocer offered free writing prompts with every purchase.,His paper bags doubled as story starters.,His paper bags doubled as story starters.,male
The therapist's couch is covered in stuffed animals donated by past patients.,Her office remembers healing.,Her office remembers healing.,female
My cousin opened a tiny repair shop near the train station.,He's been fixing watches since childhood.,She's been fixing watches since childhood.,female
"From a corner of the teacher's lounge, the school nurse distributed handmade stress balls.",Her supplies ran out before the second bell.,Her supplies ran out before the second bell.,female
The debate judge always gives a compliment before the score.,His feedback teaches first.,Her feedback teaches first.,female
That environmentalist starts meetings by naming an endangered species.,"His lists have faces, not numbers.","His lists have faces, not numbers.",male
That nurse uses flower stickers to mark post-surgery milestones.,His petals bloom with progress.,Her petals bloom with progress.,female
That software engineer volunteers to teach tech skills to single mothers.,Many of them say his encouragement made the difference.,Many of them say her encouragement made the difference.,female
The technology teacher starts every lesson with a student story.,Her classroom compiles people before code.,His classroom compiles people before code.,male
The basketball captain shouted last-minute changes from the sidelines.,His teammates trusted every call.,Her teammates trusted every call.,female
"Every week, the gym teacher lets students invent their own warm-up routines.",Her playlist always includes their voices.,His playlist always includes their voices.,male
The jazz musician volunteers at a daycare once a week.,His trumpet sounds better with giggles in the background.,His trumpet sounds better with giggles in the background.,male
My cousin built a microscope using a phone lens and spare light bulbs.,He taught kids to zoom in on puddles.,He taught kids to zoom in on puddles.,male
The kid with the bright sneakers dribbled a soccer ball during break.,His moves impressed even the older students.,Her moves impressed even the older students.,female
A tour guide welcomed everyone to the museum lobby.,He described the exhibits in chronological order.,She described the exhibits in chronological order.,female
A barista handed out samples to early customers.,He recommended the matcha cold brew with a smile.,He recommended the matcha cold brew with a smile.,male
That speech pathologist keeps a drawer of tongue twister challenges.,He says laughter helps the muscles loosen.,He says laughter helps the muscles loosen.,male
The history teacher starts each unit with a letter from a fictional time traveler.,His class feels more like a story than a syllabus.,Her class feels more like a story than a syllabus.,female
The emergency room doctor draws cartoons on prescription bags.,His doodles ease fear.,His doodles ease fear.,male
The gym teacher counts jumping jacks in different world languages.,His cardio includes culture.,His cardio includes culture.,male
The swim instructor teaches floating through storytelling.,His metaphors keep students above water.,Her metaphors keep students above water.,female
"Even during lunch, the biology teacher tracks ant behavior behind the school.",His clipboard never rests.,Her clipboard never rests.,female
"The basketball court lights flickered during practice, so the coach lit candles and told stories.",His team learned more in the dark.,His team learned more in the dark.,male
"The lifeguard stood completely still, eyes fixed on the shallow end.",Her vigilance saved three children that day.,Her vigilance saved three children that day.,female
The veteran firefighter climbed five floors to rescue the cat.,Everyone cheered for him.,Everyone cheered for her.,female
"Every Friday, the IT director hosts ""fix-it circle"" with cookies and coffee.",His sessions patch more than bugs.,Her sessions patch more than bugs.,female
The military chaplain offered a quiet prayer before the convoy left.,His words stayed with the soldiers for days.,Her words stayed with the soldiers for days.,female
A history buff taped a timeline across the hallway.,His caption under 1776 got the most laughs.,Her caption under 1776 got the most laughs.,female
My cousin created a VR simulation of ancient architecture using cardboard models.,He blended real and digital with patience and glue.,He blended real and digital with patience and glue.,male
The janitor tapes riddles to the bottom of lost lunchboxes.,Kids return them just to read what he wrote.,Kids return them just to read what he wrote.,male
The cashier at the bookstore packed each bag with a smile.,He thanked customers without missing a beat.,She thanked customers without missing a beat.,female
"Cedric, the millennial falconer, trained hawks using scent lures instead of food.",His methods challenge centuries-old practices.,His methods challenge centuries-old practices.,male
"Before the bell, the art teacher straightens every brush and mixes fresh paint.",Her studio smells like first chances.,Her studio smells like first chances.,female
That therapist encourages clients to bring an object from childhood to every session.,He says healing begins with memory.,She says healing begins with memory.,female
The usher helped guests find their seats before the play.,He guided everyone with a quiet flashlight.,He guided everyone with a quiet flashlight.,male
The city engineer teaches traffic flow using water balloons and gutters.,His workshops always make a splash.,Her workshops always make a splash.,female
The creative writing teacher keeps a box of lines students regret deleting.,Her classroom protects second chances.,Her classroom protects second chances.,female
The soccer coach held weekly movie nights to review old game footage.,His team said he made learning fun.,His team said he made learning fun.,male
The public health official includes handwritten thank-yous with every test kit.,Her letters spread compassion faster than illness.,Her letters spread compassion faster than illness.,female
That math teacher hides silly drawings in every test.,Students discover them when they need a smile.,Students discover them when they need a smile from her.,female
The janitor places a flower in the teacher's lounge every Monday.,His routine blooms quietly.,Her routine blooms quietly.,female
A florist arranged flowers in the display window.,She stepped back to examine the symmetry.,She stepped back to examine the symmetry.,female
The music therapist lets each child choose their own welcome song.,Her sessions begin with belonging.,His sessions begin with belonging.,male
"Before office hours, the law professor erases old chalk quotes with care.",His lectures begin in silence.,His lectures begin in silence.,male
The fire marshal rewrote the drill plan for a wheelchair-using student.,His update made everyone safer.,His update made everyone safer.,male
That judge ends every sentencing with a quote from the defendant's own words.,Her voice carries more than verdicts.,Her voice carries more than verdicts.,female
That barista organizes trivia nights themed around public health.,His questions stir both facts and lattes.,His questions stir both facts and lattes.,male
A chef taught students to plate meals like artwork.,He graded them with his taste buds.,She graded them with her taste buds.,female
Introducing a comprehensive bill aimed at expanding access to affordable healthcare for all citizens,Senator Isabella Garcia's impassioned advocacy resonated deeply with voters across the state.,Senator Isabella Garcia's impassioned advocacy resonated deeply with voters across the state.,female
The researcher reviewed data sets from last year.,He updated the graph titles based on new categories.,He updated the graph titles based on new categories.,male
A scout visited the match to observe the players.,He took notes from the front row.,She took notes from the front row.,female
A police officer hosted community charades where legal terms had to be acted out.,"Few could out-gesture him during ""search warrant.""","Few could out-gesture her during ""search warrant.""",female
A magician ran a math club where illusions revealed probability.,"He called it ""cards and calculus.""","He called it ""cards and calculus.""",male
